EQUIP_EMPTY,______,,,－－－－－－,______,,,,,,,,
MENU_AILMENTS_SEPARATOR,", ",", ",", ",、,", ",", ",", ",", ",", ",", ",", ",", ",
MENU_AILMENTS_AND, and , et , e ,と, 그리고 , y , y , e , i , und , и , і ,
MENU_AILMENTS_AND_MORE, and more, et..., e altro,など, 등, y..., y..., e..., i więcej, und weitere, и ещё...,,
MAP_404,No map available,Aucune carte disponible,Mappa non disponibile,マップがない,지도가 존재하지 않습니다.,Mapa no disponible,Mapa no disponible,Mapa indisponível,Mapa niedostępna,Keine Karte verfügbar,Карта недоступна,Мапа недоступна,
MAP_FASTSCROLL,Speed Up,Défilement rapide,Velocizza,SPEED UP,스피드 업,Acelerar,Acelerar,Acelerar,Przyspiesz,Schneller,Ускорить,Прискорити,
MAP_MARKERS,Markers,Marqueurs,Indicatori,ICON,마커,Marcadores,Marcadores,Marcadores,Znaczniki,Symbole,Метки,Позначки,
MENU_TITLE_GOODS,Goods,Objets,Oggetti,グッズ,소지품,Objetos,Objetos,Itens,Przedmioty,Items,Вещи,Інвентар,
MENU_TITLE_PSI,PSI,PSI,PSI,ＰＳＩ,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,
MENU_TITLE_EQUIP,Equip,Équipement,Equipaggiamento,そうび,장비,Equipamiento,Equipo,Equipar,Ekwipunek,Ausrüsten,Снаряжение,Спорядження,
MENU_TITLE_STATUS,Status,Statut,Stato,ステータス,상태,Estado,Estado,Condições,Status,Status,Информация,Статус,
MENU_TITLE_OPTIONS,Options,Options,Opzioni,せってい,옵션,Opciones,Opciones,Opções,Opcje,Optionen,Настройки,Параметри,
MENU_TITLE_STORAGE,Storage,Stockage,Deposito,あずけや,창고,Almacenamiento,Almacenamiento,Armário,Magazyn,Lager,Кладовка,Склад,
INVENTORY_SWAP,Swap Items,Échanger,Scambia oggetti,いれかえ,아이템 교체,Intercambiar,Intercambiar,Trocar itens,Zamień przedmioty,Item tauschen,Обмен вещами,Обмін речами,
INVENTORY_DESCRIPTION,Description,Description,Descrizione,INFO,설명,Descripción,Descripción,Descrição,Opis,Beschreibung,Описание,Опис,
INVENTORY_ACTION_GIVE,Give,Donner,Dai,わたす,건네주기,Dar,Dar,Dar,Daj,Geben,Дать,Дати,
INVENTORY_ACTION_SORT,Sort,Trier,Ordina,ならびかえ,정렬,Ordenar,Ordenar,Organizar,Sortuj,Sortieren,Упорядочить,Впорядкувати,
INVENTORY_ACTION_DROP,Drop,Jeter,Butta,すてる,버리기,Soltar,Tirar,Jogar fora,Wyrzuć,Wegwerfen,Выбросить,Викинути,
INVENTORY_ACTION_USE,Use,Utiliser,Usa,つかう,사용하기,Usar,Usar,Usar,Użyj,Benutzen,Использовать,Використотати,
INVENTORY_ACTION_EQUIP,Equip,Équiper,Equipaggia,そうび,장비,Equipar,Equipar,Equipar,Wyposaż,Ausrüsten,Экипироваться,Спорядити,
INVENTORY_ACTION_UNEQUIP,Unequip,Retirer,Disequipaggia,はずす,장비 해제,Desequipar,Quitar,Desequipar,Zdejmij,Abnehmen,Убрать,Роззброїти,
INVENTORY_ACTION_GIVE_TARGET,To whom?,À qui ?,A chi?,だれに？,누구에게?,¿A quién?,¿A quién?,Para quem?,Komu?,Zu wem?,Кому?,Кому?,
INVENTORY_ACTION_USE_TARGET,On whom?,Sur qui ?,Su chi?,だれに？,누구에게?,¿En quién?,¿En quién?,Em quem?,Na kim?,Auf wen?,На ком?,На кому?,
INVENTORY_ACTION_TARGET,Who?,Qui ?,Chi?,だれ？,누가?,¿Quién?,¿Quién?,Quem?,Kto?,Wer?,Кому?,Кому?,
INVENTORY_ACTION_TARGET_ALL,All,Tout le monde,Tutti,ぜんいん,모두,Todos,Todos,Todos,Wszyscy,Alle,Всем,Усі,
INVENTORY_ACTION_SORT_HOW,How?,Comment ?,Come?,どうやって？,어떻게?,¿Cómo?,¿Cómo?,Como?,Jak?,Wie?,Как?,Як?,
INVENTORY_ACTION_SORT_MANUAL,Manual,Manuellement,Manualmente,マニュアル,수동,Manualmente,Manual,Manual,Ręcznie,Manuell,Вручную,Вручну,
INVENTORY_ACTION_SORT_AUTO,Auto,Automatiquement,Automaticamente,オート,자동,Auto,Automático,Automático,Automatycznie,Auto,Автоматически,Автоматично,
INVENTORY_ACTION_EQUIP_CONFIRM,Equip?,Équiper ?,Equipaggiare?,そうびする？,장비할까?,¿Equipar?,¿Equipar?,Equipar?,Wyposażyć?,Ausrüsten?,Сразу экип.?,Спорядити?,
INVENTORY_ACTION_SWAP_CONFIRM,Swap?,Échanger ?,Scambiare?,いれかえる？,건네줄까?,¿Intercambiar?,¿Intercambiar?,Trocar?,Zamienić?,Geben?,Обменять?,Замінити?,
INVENTORY_ACTION_DROP_CONFIRM,Drop?,Jeter ?,Buttare?,すてる？,버릴까?,¿Soltar?,¿Tirar?,Jogar fora?,Wyrzucić?,Wegwerfen?,Выбросить?,Викинути?,
INVENTORY_ITEM_USES_TOTAL,{value} uses.,{value} utilisations.,{value} utilizzi.,あと{value}かい,{value}회 사용 가능,{value} usos.,{value} usos.,{value} usos.,{value} uży{v1}.,{value} Verwendungen.,Используется {value} раз{v2}.,{value} використан{v2}.,
INVENTORY_ITEM_USES_LEFT,{value} use{v0} left.,{value} utilisation{v0} restante{v0}.,{value} utilizz{v0} rimast{v0}.,あと{value}かい,{value}회 사용 가능,{value} uso{v0} restante{v0}.,Queda{v1} {value} uso{v0}.,{value} uso{v0} restante{v0}.,Pozostał{v0} {value} uży{v1}.,{value} Verwendung{v0} übrig.,Ещё {value} использовани{v3}.,Ще {value} використан{v2}.,
ATM_BALANCE,Balance,Solde,Saldo,ザンダカ,잔액,Banco,Saldo,Saldo,Saldo,Kontostand,Баланс,Рахунок,
ATM_ONHAND,On Hand,En main,Contanti,テモチ,소지금,En mano,En mano,Na mão,Przy sobie,Zur Hand,На руках,На руках,
ATM_WITHDRAW,Withdraw,Retirer,Ritira,ヒキダス,출금,Retirar,Retirar,Sacar,Wypłata,Abheben,Снять,Вивести,
ATM_DEPOSIT,Deposit,Déposer,Deposita,アズケイレ,입금,Depositar,Depositar,Depositar,Wpłata,Einzahlen,Внести,Покласти,
SHOP_SHOP,Shop,Magasin,Negozio,ショップ,샵,Tienda,Tienda,Loja,Sklep,Laden,Магазин,Магазин,
SHOP_BUY,Buy,Acheter,Compra,かう,사기,Comprar,Comprar,Comprar,Kup,Kaufen,Купить,Придбати,
SHOP_SELL,Sell,Vendre,Vendi,うる,팔기,Vender,Vender,Vender,Sprzedaj,Verkaufen,Продать,Продати,
SHOP_ASK_BUY,Buy {i3}{item}?,Acheter {i3}{item} ?,Compri {i3}{item}?,{item}を　かいますか？,{item}{i2} 구매하시겠습니까?,¿Comprar {i3}{item}?,¿Quieres comprar {i3}{item}?,Comprar {i3}{item}?,Kupić {i3}?,{i5}{item} kaufen?,Купить {i3}?,Купити {i3}?,
SHOP_ASK_EQUIP,Equip now?,Équiper {i1}{item} ?,Equipaggi subito?,そうびしますか？,지금 장비하시겠습니까?,¿Equipar ahora?,¿Quieres equipártel{i5} ahora?,Equipar de uma vez?,Wyposażyć teraz?,Direkt ausrüsten?,Сразу экипироваться?,Одразу обладнати?,
SHOP_ASK_SELL_OLD,Sell your old {item}?,Revendre {i7}{item} ?,Vendi {i1}{item} vecchi{i5}?,そうびしていた　{item}を　うりますか？,낡은 {item}{i2} 판매하시겠습니까?,¿Revender tu{i6} {item}?,¿Quieres vender tu{i6} {item}?,Vender {i1}{item} que você tinha?,Odsprzedać {i3}?,{i7}{i11} {item} verkaufen?,Продать {i3}?,Продати {i3}?,
SHOP_ASK_SELL,Sell your {item}?,Vendre {i7}{item} ?,Vendi {i7} tu{i5} {item}?,{item}を　うりますか？,{item}{i2} 판매하시겠습니까?,¿Vender tu{i6} {item}?,¿Quieres vender tu{i6} {item}?,Vender {i1}{i7}{item}?,Sprzedać {i3}?,{i7}{item} verkaufen?,Продать {i3}?,Продати {i3}?,
SHOP_ASK_SELL_FOR_SPACE,Your inventory is full.\nSell your {item}?,Votre inventaire est plein.\nVendre {i7}{item} ?,Inventario pieno.\nVendi {i1}{item}?,バッグが　いっぱいです。\n{item}を　うりますか？,인벤토리가 가득 찼습니다.\n{item}{i2} 판매하시겠습니까?,Tu inventario está lleno.\n¿Vender tu{i6} {item}?,Tu inventario está lleno.\n¿Quieres vender tu{i6} {item}?,Seu inventário está cheio.\nVender {i1}{i7}{item}?,Twój ekwipunek jest pełny.\nSprzedać {i3}?,Dein Inventar ist voll.\n{i7}{item} verkaufen?,У тебя нет места.\nПродать {i3}?,Ваш інвентар повний.\nПродати {i3}?,
SHOP_ASK_SELL_FOR_CASH,You don't have enough cash.\nSell something?,Vous n'avez pas assez d'argent.\nVendre quelque chose ?,Non hai abbastanza soldi.\nVuoi vendere qualcosa?,おかねが　たりません。\nなにか　うりますか？,현금이 부족합니다.\n무언가 판매하시겠습니까?,No tienes suficiente dinero.\n¿Vendes algo?,No tienes dinero suficiente.\n¿Quieres vender algo?,Você não tem o suficiente.\nVender alguma coisa?,Nie masz wystarczającej ilości\ngotówki. Sprzedać coś?,Du hast nicht genug Geld.\nWillst du was verkaufen?,У тебя недостаточно денег.\nХочешь продать что-нибудь?,У вас недостатньо коштів.\nПродати щось?,
TRANSACTION_ASK_UNEQUIP,Unequip {i1}{item}?,Retirer {i1}{item} équipé{i5} ?,Rimuovi {i1}{item}?,{item}を　はずしますか？,{item}{i2} 해제하겠습니까?,¿Desequipar {i1}{item}?,¿Quieres quitarte {i1}{item}?,Desequipar {i1}{item}?,Zdjąć {i3}?,{i7}{item} ablegen?,Убрать {i3}?,Роззброїти {i3}?,
TRANSACTION_FULL,Your inventory is full.,Votre inventaire est plein.,Inventario pieno.,バッグが　いっぱいです。,인벤토리가 가득 찼습니다.,Tu inventario está lleno.,Tu inventario está lleno.,Seu inventário está cheio.,Twój ekwipunek jest pełny.,Dein Inventar ist voll.,У тебя нет места.,Ваш інвентар повний.,
TRANSACTION_STORAGE_FULL,The storage is full.,Le stockage est plein.,Deposito pieno.,あずけやが　いっぱいです。,창고가 가득 찼습니다.,El almacenamiento está lleno.,El almacén está lleno.,O armário está cheio.,Magazyn jest pełny.,Das Lager ist voll.,В кладовке нет места.,Ваш склад повний.,
PSI_WHOM,To whom?,À qui ?,A chi?,だれに？,누구에게?,¿A quién?,¿A quién?,A quem?,Komu?,Auf wen?,Кому?,Кому?,
PSI_CONFIRM,You sure?,Êtes-vous sûr ?,Confermi?,ほんとうに？,확실합니까?,¿Estás seguro?,¿Estás seguro?,Tem certeza?,Na pewno?,Sicher?,Точно?,Впевнені?,
PSI_PP_NOTENOUGH,Not enough PP!,Pas assez de PP ¦,Non hai abbastanza PP!,ＰＰがたりない。,PP가 부족합니다!,¡No hay suficiente PP!,¡No tienes suficientes PP!,PP insuficiente!,Za mało PP!,Nicht genug PP!,Недостаточно ОП!,Недостатьно ОП!,
PSI_HP_MAXEDOUT,{target}'s HP was maxed out!,Tous les PV {t4}{target} ont été récupérés ¦,{target} recupera tutti i PS!,{target}の　ＨＰがまんたんになった！,{target}의 HP가 가득 찼다!,¡Los PV {t4}{target} están al máximo!,¡Los PV {t4}{target} están al máximo!,O HP de {target} foi completamente recuperado!,HP {t1} zostało wypełnione!,KP von {target} sind voll!,{target} полностью восстановил{t6} здоровье!,ОЗ {t1} повністю відновлено!,
PSI_HP_RECOVERED,{target} recovered {value} HP!,{target} récupère {value} PV ¦,{target} recupera il {value} dei PS!,{target}は　ＨＰを{value}　かいふくした！,{target}의 HP가 {value} 회복되었다!,¡{t0}{target} recuperó {value} PV!,¡{t0}{target} ha recuperado {value} PV!,{target} recuperou {value} HP!,{target} odzyskał{t4} {value} HP!,{target} heilte {value} KP!,{target} восстановил{t6} {value} ОЗ!,{target} віднови{t6} {value} ОЗ!,
PSI_STATUS_HEALED,{target} was healed of {0}!,{target} n'est plus {0} ¦,{target} guarisce da {0}!,{target}は　{0}から　かいふくした！,{target}(이)가 {0} 회복되었다!,¡{t0}{target} ha sido curad{t6} {0}!,¡{t0}{target} ha sido curad{t6} {0}!,{target} foi curad{t4} {0}!,{target} został{t4} wyleczon{t5} z {0}!,{t11} {0} wurde geheilt!,{target} избавил{t8} от {0}!,{target} вилікува{t6}ся від {0}!,
PSI_STATUS_FULL,{target} was healed of all statuses!,{target} est guéri{t6} de toutes ses altérations d'état ¦,{target} guarisce da tutti gli stati alterati!,{target}の　じょうたいいじょうが　きえた！,{target}의 상태가 완전히 회복되었다!,¡{t0}{target} fue curad{t6} de todos sus estados!,¡{t0}{target} ha sido curad{t6} de todos sus estados!,{target} foi curad{t4} de todas as condições!,{target} został{t4} wyleczon{t5} ze swoich statusów!,{t11} ganzen Zustände wurden geheilt!,{target} избавил{t8} от всех недугов!,{target} вилікува{t6}ся від усіх недуг!,
TELEPORT_WHERE,Where to?,Où ça ?,Dove?,どこに？,어디로?,¿A dónde?,¿A dónde?,Para onde?,Dokąd?,Wohin?,Куда?,Куди?,
TITLE_FNKEYS,{0} – Fullscreen\n{1} – Window Size,{0} – Plein écran\n{1} – Taille de la fenêtre,{0} – Schermo intero\n{1} – Risoluzione,{0}　フルスクリーン　\n{1}　ウィンドウサイズ,{0} – 전체화면\n{1} – 창 모드,{0} – Pantalla completa\n{1} – Tamaño de ventana,{0} – Pantalla completa\n{1} – Tamaño de ventana,{0} – Tela cheia\n{1} – Ajustar janela,{0} – Pełny ekran\n{1} – Rozmiar okna,{0} – Vollbild/Fenster\n{1} – Fenstergröße,{0} — полноэкранный режим\n{1} — оконный режим,{0} — Повноекранний режим\n{1} — Розмір вікна,
TITLE_DEMO,Demo,Démo,Demo,DEMO Ver.,Demo,Demo,Demo,Demo,Demo,Demo,Демоверсия,Демо,
TITLE_INTRO_1,Originally Produced by,Initialement produit par,Originariamente prodotto da,Originally Produced by,Originally Produced by,Originalmente producido por,Originalmente producido por,Produzido originalmente pela,Oryginalnie wyprodukowane przez,Original produziert von,Оригинальный издатель,Оригінал створено,
TITLE_INTRO_2,Originally Presented by,Initialement présenté par,Originariamente presentato da,Originally Presented by,Originally presented by,Originalmente presentado por,Originalmente presentado por,Apresentado originalmente por,Oryginalnie zaprezentowane przez,Original präsentiert von,Автор оригинальной идеи,Оригінал представив,
TITLE_INTRO_3,Presented by,Présenté par,Presentato da,Presented by,Presented by,Presentado por,Presentado por el,Apresentado por,Zaprezentowane przez,Präsentiert von,представляет,представляє,
TITLE_INTRO_SWAP_LINES,",,",,,,,,,,,,",,yes",",,yes",
OPTIONS_FILESETTINGS,File settings,Configuration de la sauvegarde,Impostazioni della partita,こじん　せってい,파일 설정,Ajustes de archivo,Configuración del archivo,Ajustes,Ustawienia pliku,Dateieinstellungen,Настройки файла,Налаштування збереження,
OPTIONS_SETTINGS,Settings,Réglages,Impostazioni,オプション,설정,Ajustes,Ajustes,Configurações,Ustawienia,Einstellungen,Общие настройки,Налаштування,
OPTIONS_TITLESCREEN,Return to Title Screen,Retour à l'écran-titre,Torna allo schermo del titolo,タイトルへもどる,타이틀로 돌아가기,Volver a la pantalla de inicio,Volver a la pantalla del título,Voltar à tela de início,Powrót do ekranu tytułowego,Zum Titelbildschirm zurückkehren,Вернуться на главный экран,Повернутися до головного меню,
OPTIONS_QUIT,Close game,Quitter le jeu,Chiudi il gioco,ゲームしゅうりょう,게임 종료,Cerrar el juego,Cerrar el juego,Fechar o jogo,Zamknij grę,Spiel beenden,Выйти из игры,Закрити гру,
OPTIONS_RESOLUTION,Window resolution,Définition,Risoluzione,かいぞうど,해상도,Resolución,Resolución,Resolução da tela,Rozdzielczość okna,Fensterauflösung,Разрешение окна,Розширення вікна,
OPTIONS_FULLSCREEN,Fullscreen,Plein écran,Schermo intero,フルスクリーン,전체화면,Pantalla completa,Pantalla completa,Tela cheia,Pełny ekran,Vollbild,Полноэкран. режим,Повний екран,
OPTIONS_LANGUAGE,Language,Langue,Lingua,げんご,언어,Idioma,Idioma,Idioma,Język,Sprache,Язык,Мова,
OPTIONS_LANGUAGE_EN,English,,,,,,,,,,,,
OPTIONS_LANGUAGE_FR,Français,,,,,,,,,,,,
OPTIONS_LANGUAGE_ES,Español latino,,,,,,,,,,,,
OPTIONS_LANGUAGE_ES_ES,Español castellano,,,,,,,,,,,,
OPTIONS_LANGUAGE_JA,にほんご,,,,,,,,,,,,
OPTIONS_LANGUAGE_KO,한국어,,,,,,,,,,,,
OPTIONS_LANGUAGE_IT,Italiano,,,,,,,,,,,,
OPTIONS_LANGUAGE_PL,Polski,,,,,,,,,,,,
OPTIONS_LANGUAGE_PT_BR,Português brasileiro,,,,,,,,,,,,
OPTIONS_LANGUAGE_DE,Deutsch,,,,,,,,,,,,
OPTIONS_LANGUAGE_RU,Русский,,,,,,,,,,,,
OPTIONS_LANGUAGE_UK,Українська,,,,,,,,,,,,
LANGUAGE_CODE,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,
OPTIONS_TITLESCREEN_CONFIRM,Return to title screen?\nAny unsaved progress will be lost.,Retourner à l'écran-titre ?\nToute progression non sauvegardée sera perdue.,Tornare allo schermo del titolo?\nI progressi non salvati saranno perduti.,タイトルに　もどりますか？\nほぞんされていない　データは　うしなわれます。,타이틀로 돌아가시겠습니까?\n저장되지 않은 파일은 사라집니다.,¿Volver a la pantalla de inicio?\nSe perderá el progreso que no haya sido guardado.,¿Quieres volver a la pantalla del título?\nSe perderá el progreso que no haya sido guardado.,Tem certeza?\nQualquer progresso não salvo será perdido.,Wrócić do ekranu tytułowego?\nUtracisz wszelkie niezapisane postępy.,Zum Titelbildschirm zurückkehren?\nJeglicher ungespeicherter Fortschritt geht verloren.,Вернуться на главный экран?\nВесь несохранённый прогресс будет утерян.,Повернутися до головного меню?\nУвесь незбережений прогрес буде втрачено.,
OPTIONS_QUIT_CONFIRM,Close the game?\nAny unsaved progress will be lost.,Quitter le jeu ?\nToute progression non sauvegardée sera perdue.,Chiudere il gioco?\nI progressi non salvati saranno perduti.,ゲームを　しゅうりょうしますか？\nほぞんされていない　データは　うしなわれます。,게임을 종료하시겠습니까?\n저장되지 않은 파일은 사라집니다.,¿Cerrar el juego?\nSe perderá el progreso que no haya sido guardado.,¿Quieres cerrar el juego?\nSe perderá el progreso que no haya sido guardado.,Tem certeza?\nQualquer progresso não salvo será perdido.,Zamknąć grę?\nUtracisz wszelkie niezapisane postępy.,Das Spiel beenden?\nJeglicher ungespeicherter Fortschritt geht verloren.,Выйти из игры?\nВесь несохранённый прогресс будет утерян.,Закрити гру?\nУвесь незбережений прогрес буде втрачено.,
OPTIONS_VOLUME,Volume,Volume,Volume,おんりょう,볼륨,Volumen,Volumen,Volume,Głośność,Lautstärke,Громкость,Гучність,
OPTIONS_VOLUME_MUSIC,Music Volume,Volume des musiques,Volume della musica,ＢＧＭおんりょう,음악 볼륨,Volumen de la música,Volumen de la música,Volume da música,Głośność muzyki,Musiklautstärke,Музыка,Музика,
OPTIONS_VOLUME_SFX,SFX Volume,Volume des bruitages,Volume degli effetti,ＳＥおんりょう,효과음 볼륨,Volumen de efectos,Volumen de efectos,Volume de efeitos,Głośność dźwięków,Soundeffektlautstärke,Звук,Звук,
OPTIONS_CONTROLS,Controls,Commandes,Controlli,そうさ,조작,Controles,Controles,Controles,Sterowanie,Steuerung,Управление,Керування,
OPTIONS_ON,On,Oui,Sì,オン,On,Sí,Sí,Ligado,Wł.,An,Вкл.,Увімк.,
OPTIONS_OFF,Off,Non,No,オフ,Off,No,No,Desligado,Wył.,Aus,Выкл.,Вимк.,
KEYBOARD_ESCAPE,Esc,Échap,Esc,ESC,Esc,Esc,Esc,Esc,Esc,Esc,Esc,Esc,
KEYBOARD_TAB,Tab,Tab,Tab,TAB,Tab,Tab,Tab,Tab,Tab,Tab,Tab,Tab,
KEYBOARD_BACKSPACE,BKSP,Retour,Backsp.,BACK,Backsp,Retroc.,Retroc.,Apagar,Backsp.,Rück,Backsp.,Backsp.,
KEYBOARD_ENTER,Enter,Entrée,Enter,ENTER,Enter,Enter,Enter,Enter,Enter,Enter,Enter,Enter,
KEYBOARD_INSERT,Insert,Inser,Insert,INSERT,Insert,Insert,Ins,Insert,Insert,Einfg,Insert,Insert,
KEYBOARD_DELETE,Del,Suppr,Canc,DEL,Del,Supr,Supr,Delete,Del,Entf,Delete,Delete,
KEYBOARD_PAUSE,Pause,Pause,Pausa,PAUSE,Pause,Pausa,Pausa,Pause,Pauza,Pause,Pause,Pause,
KEYBOARD_HOME,Home,Orig,Home,HOME,Home,Inicio,Inicio,Home,Home,Home,Home,Home,
KEYBOARD_END,End,Fin,Fine,END,End,Fin,Fin,End,End,Ende,End,End,
KEYBOARD_PAGEUP,PgUp,Préc,PagSu,PGUP,PgUp,Subir,Subir,PgUp,PgUp,PgUp,PgUp,PgUp,
KEYBOARD_PAGEDOWN,PgDn,Suiv,PagGiù,PGDN,PgDn,Bajar,Bajar,PgDn,PgDn,PgDn,PgDn,PgDn,
KEYBOARD_SHIFT,Shift,Maj,Shift,SHIFT,Shift,Shift,Mayús,Shift,Shift,Shift,Shift,Shift,
KEYBOARD_CONTROL,Ctrl,Ctrl,Ctrl,CTRL,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Strg,Ctrl,Ctrl,
KEYBOARD_META,Meta,Méta,Meta,META,Meta,Meta,Meta,Meta,Meta,Meta,Meta,Meta,
KEYBOARD_COMMAND,Cmd,Cmd,Cmd,CMD,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,Cmd,
KEYBOARD_ALT,Alt,Alt,Alt,ALT,Alt,Alt,Alt,Alt,Alt,Alt,Alt,Alt,
KEYBOARD_SUPER_L,Super L,Super G,Super Sx,スーパーL,Super L,Súper I,Súper I,Super E,Super L,Super L,Super L,Super L,
KEYBOARD_SUPER_R,Super R,Super D,Super Dx,スーパーR,Super R,Súper D,Súper D,Super D,Super R,Super R,Super R,Super R,
KEYBOARD_MENU,Menu,Menu,Menu,MENU,Menu,Menú,Menú,Menu,Menu,Menü,Menu,Меню,
KEYBOARD_SPACE,Space,Espace,Spazio,SPACE,Space,Espacio,Espacio,Espaço,Spacja,Leer,Пробел,Пробіл,
CONTROLS_HEADER_MOVEMENT,Movement,Déplacement,Movimento,いどう,이동,Movimiento,Movimiento,Movimento,Poruszanie,Bewegung,Движение,Рух,
CONTROLS_UP,Up,Haut,Su,うえ,위,Arriba,Arriba,Cima,Góra,Hoch,Вверх,Вгору,
CONTROLS_DOWN,Down,Bas,Giù,した,아래,Abajo,Abajo,Baixo,Dół,Runter,Вниз,Вниз,
CONTROLS_LEFT,Left,Gauche,Sinistra,ひだり,좌,Izquierda,Izquierda,Esquerda,Lewo,Links,Влево,Вліво,
CONTROLS_RIGHT,Right,Droite,Destra,みぎ,우,Derecha,Derecha,Direita,Prawo,Rechts,Вправо,Вправо,
CONTROLS_HEADER_ACTIONS,Actions,Actions,Azioni,アクション,액션,Acciones,Acciones,Ações,Akcje,Aktionen,Действия,Дії,
CONTROLS_INTERACT,Interact/Accept,Interagir/Accepter,Interagisci/Accetta,かいわ・けってい,상호작용,Interactuar/Aceptar,Interactuar/Aceptar,Interagir/Aceitar,Interakcja/Zaakceptuj,Interagieren/Akzeptieren,Взаимодейств./выбор,Взаємодіяти/Обрати,
CONTROLS_SKILL,Skill/Cancel,Talent/Annuler,Abilità/Annulla,スキル・キャンセル,스킬/취소,Habilidad/Cancelar,Habilidad/Cancelar,Habilidade/Cancelar,Umiejętność/Anuluj,Fähigkeit/Abbrechen,Навык/отмена,Навички/Скасувати,
CONTROLS_RUN,Crouch/Run,S'accroupir/Courir,Accovacciati/Corri,しゃがむ・ダッシュ,웅크리기/달리기,Agacharse/Correr,Agacharse/Correr,Agachar/Correr,Kucnij/Biegnij,Hocke/Rennen,Пригнуться/бежать,Присісти/Бігти,
CONTROLS_SCOPE,Scope/Description,Scruter/Description,Esamina/Descrizione,みわたす・しょうさい,전망/설명,Mirar/Descripción,Explorar/Descripción,Analisar/Descrição,Zbadaj/Opis,Spähen/Beschreibung,Разведка/описание,Розвідка/Опис,
CONTROLS_PREV,Previous,Précédent,Indietro,まえ,이전,Anterior,Anterior,Anterior,Poprzednie,Zurück,Назад,Назад,
CONTROLS_NEXT,Next,Suivant,Avanti,つぎ,다음,Siguiente,Siguiente,Próximo,Następne,Weiter,Вперёд,Вперед,
CONTROLS_MENU,Menu,Menu,Menu,メニュー,메뉴,Menú,Menú,Menu,Menu,Menü,Меню,Меню,
CONTROLS_HEADER_MISC,Others,Divers,Altro,そのた,기타,Otros,Otros,Outros,Inne,Anderes,Отображение,Інше,
CONTROLS_FULLSCREEN,Fullscreen,Plein écran,Schermo intero,フルスクリーン,전체화면,Pantalla completa,Pantalla completa,Tela cheia,Pełny ekran,Vollbild/Fenster,Полноэкранный режим,Повноекранний режим,
CONTROLS_WINDOW_SIZE,Window Size,Taille de la fenêtre,Risoluzione,ウィンドウサイズ,창 모드,Tamaño de ventana,Tamaño de ventana,Ajustar janela,Rozmiar okna,Fenstergröße,Размер окна,Розмір вікна,
CONTROLS_RUMBLE,Rumble,Vibrations,Vibrazione,しんどう,진동,Vibración,Vibración,Vibração,Wibracje,Rumble,Вибрация,Вібрація,
CONTROLS_BUTTON_STYLE,Button Naming,Nom des boutons,Nome dei pulsanti,ボタンレイアウト,버튼 설정,Nombre de los botones,Nombre de los botones,Nome dos botões,Nazwy przycisków,Knopf-Layout,Раскладка контроллера,Назви кнопок,
CONTROLS_BUTTON_STYLE_NINTENDO,Nintendo Style,Façon Nintendo,Stile Nintendo,NINTENDO,NINTENDO,Estilo Nintendo,Estilo Nintendo,Estilo Nintendo,Styl Nintendo,Nintendo,Nintendo,Nintendo,
CONTROLS_BUTTON_STYLE_PLAYSTATION,PlayStation Style,Façon PlayStation,Stile PlayStation,PS,PS,Estilo PlayStation,Estilo PlayStation,Estilo PlayStation,Styl PlayStation,PlayStation,PlayStation,PlayStation,
CONTROLS_BUTTON_STYLE_XBOX,Xbox Style,Façon Xbox,Stile Xbox,XBOX,XBOX,Estilo Xbox,Estilo Xbox,Estilo Xbox,Styl Xbox,Xbox,Xbox,Xbox,
CONTROLS_BUTTON_STYLE_DETECT,Auto Detect,Automatique,Rileva in automatico,じどうけんち,자동 감지,Auto,Automático,Detectar automaticamente,Autowykrywanie,Automatisch,Автоопределение,Автовизначення,
CONTROLS_DEFAULT,Reset to defaults,Retour à la configuration d'origine,Ripristina default,デフォルトにもどす,초기화,Restablecer configuración,Restablecer configuración,Redefinir,Przywróć ustawienia domyślne,Auf Standard zurücksetzen,По умолчанию,За замовчуванням,
CONTROLS_DEFAULT_CONFIRM,Reset to default controls?,Voulez-vous revenir aux réglages d'origine ?,Ritorni ai controlli di default?,デフォルトにもどしますか？,초기화하시겠습니까?,¿Deseas volver a la configuración original?,¿Quieres restablecer los controles por defecto?,Redefinir para os comandos padrão?,Przywrócić domyślne ustawienia sterowania?,Auf Standardbelegung zurücksetzen?,Сбросить настройки управления?,Скинути до налаштувань за замовчуванням?,
CONTROLS_PRESS_KEY,Press any key to rebind.,Veuillez appuyer sur la touche de votre choix.,Premi un tasto per associare.,キーをおして　わりあてる。,키를 지정하십시오.,Pulsa cualquier tecla para reenlazar.,Pulsa cualquier tecla para reenlazar.,Pressione qualquer tecla para definir.,"Naciśnij dowolny klawisz, aby go przypisać.",Drücke eine Taste zum Umbinden.,"Нажмите любую клавишу, чтобы переназначить.","Натисніть будь-яку клавішу, щоб переназначити.",
