key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_ADMISSION_0,[@]Looks like admission's free.,[@]On dirait que l'entrée est gratuite.,[@]L'ingresso è gratuito.,[@]うけつけには　だれもいない。[BR]にゅうじょうりょうは　むりょうだ。,[@]입장료는 무료인 것 같다.,[@]Parece que la entrada es gratis.,[@]Parece que la entrada es gratis.,[@]Parece que a entrada é grátis.,"[@]Wygląda na to, że wstęp jest bezpłatny.",[@]Der Eintritt scheint frei zu sein.,"[@]Похоже, вход свободный.","[@]Схоже, вхід безкоштовний.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_ADMISSION_2_0,[@]Looks like admission's free!,[@]On dirait que l'entrée est gratuite !,[@]L'ingresso è gratuito.,[@]うけつけには　だれもいない。[BR]にゅうじょうりょうは　むりょうだ。,[@]입장료는 무료인 것 같다!,[@]¡Parece que la entrada es gratis!,[@]¡Parece que la entrada es gratis!,[@]Parece que a entrada é grátis!,"[@]Wygląda na to, że wstęp jest bezpłatny!",[@]Der Eintritt scheint frei zu sein!,"[@]Похоже, вход свободный!","[@]Схоже, вхід безкоштовний!",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FOUNTAIN_0,[@]Drink from the water fountain?,[@]Boire l'eau de la fontaine ?,[@]Bevi dalla fontanella?,[@]みずを　のみますか？,[@]분수 물을 마실까?,[@]¿Beber de la fuente de agua?,[@]¿Quieres beber agua de la fuente?,[@]Beber a água da fonte?,[@]Pić z fontanny?,[@]Wasser von der Armatur trinken?,[@]Попить из фонтанчика?,[@]Попити з фонтанчика?,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FOUNTAIN_0-OPT_0,Yes,Oui,Sì,はい,네,Sí,Sí,Sim,Tak,Ja,Да,Так,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FOUNTAIN_0-OPT_1,No,Non,No,いいえ,아니오,No,Mejor no,Não,Nie,Nein,Нет,Ні,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FOUNTAIN_1,[@]You suddenly don't feel well.,[@]Vous ne vous sentez subitement pas très bien.,[@]Non ti senti molto bene.,[@]きぶんが　わるくなった。,[@]기분이 별로 좋지는 않다.,[@]De repente no te sientes bien.,"[@]De repente, no te encuentras bien.",[@]Você não se sente muito bem...,[@]Nagle poczułeś się źle.,[@]Plötzlich fühlst du dich nicht gut.,[@]Тебе внезапно поплохело.,[@]Тобі раптово стало погано.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FOUNTAIN_2,[@]That's probably for the best.,[@]C'est peut-être mieux.,[@]Meglio così.,[@]・・・やめておいた。,"[@]그래, 마셨다면 배탈이라도 났을 거야.",[@]Es probablemente la mejor opción.,"[@]Sí, probablemente sea lo mejor.",[@]Deve ser melhor assim.,[@]Tak chyba będzie najlepiej.,[@]Ist wahrscheinlich besser so.,[@]Оно и к лучшему.,[@]Воно й на краще.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FOUNTAIN_SIGN_0,[@]DANGER![WAIT@]DO NOT DRINK FROM THE WATER FOUNTAIN UNLESS YOU WANT LEAD POISONING.,[@]DANGER ![WAIT@]NE BUVEZ PAS L'EAU DE LA FONTAINE À MOINS QUE VOUS NE SOUHAITIEZ ÊTRE EMPOISONNÉ AU PLOMB.,"[@]PERICOLO![WAIT@]NON BERE DALLA FONTANELLA, A MENO CHE NON CI TENIATE ALL'AVVELENAMENTO DA PIOMBO",[@]「[Poisoned]ちゅうい！[Poisoned]」　[WAIT@]「ここの　みずを　のむと\nなまりちゅうどく　になります！」　,[@]위험![WAIT@]납 중독에 죽고 싶지 않다면 세면대 물을 마시지\n마십시오.,[@]¡PELIGRO![WAIT@]NO BEBA DE LA FUENTE DE AGUA A MENOS QUE QUIERA ENVENENARSE CON PLOMO.,[@]¡PELIGRO![WAIT@]NO BEBA AGUA DE LA FUENTE A MENOS QUE QUIERA ENVENENARSE CON PLOMO.,"[@]PERIGO![WAIT@]NÃO BEBA A ÁGUA DA FONTE, A MENOS QUE QUEIRA INTOXICAÇÃO POR CHUMBO.","[@]UWAGA![WAIT@]NIE PIJ Z FONTANNY, JEŚLI NIE CHCESZ ZATRUĆ SIĘ OŁOWIEM.","[@]GEFAHR![WAIT@]NICHT VOM WASSER TRINKEN, WENN SIE KEINE BLEIVERGIFTUNG HABEN WOLLEN!","[@]ВНИМАНИЕ![WAIT@]НЕ ПЕЙТЕ ВОДУ ИЗ ПИТЬЕВОГО ФОНТАНА, ЕСЛИ НЕ ХОТИТЕ ОТРАВИТЬСЯ СВИНЦОМ.","[@]УВАГА![WAIT@]НЕ ПИЙТЕ ВОДУ З ФОНТАНЧИКА, ЯКЩО НЕ БАЖАЄТЕ ОТРУЇТИСЯ СВИНЦЕМ.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_FRONT_0,[@]Welcome to the Miraculous Podunk zoo![WAIT@]Fun for everyone! Kids and grownups alike.[WAIT@](Be sure not to feed the animals!),[@]Bienvenue au zoo Patachou ![WAIT@]Du divertissement garanti pour petits et grands ![WAIT@](Prière de ne pas nourrir les animaux !),"[@]Benvenuti al Miracoloso zoo di Podunk![WAIT@]Divertimento per tutti, grandi e piccini![WAIT@](Non dare da mangiare agli animali!)",[@]「シュークリームどうぶつえんへ　ようこそ！[WAIT@]　おとなも　こどもも　おねえさんも[BR]　たのしんで　いってね！[WAIT@]（どうぶつへの　エサやりは\n　　　ごえんりょください。）｝」,"[@]슈크림 동물원에 어서 오세요![WAIT@]어른, 아이 할 것 없이 모두가 즐길 수 있어요![WAIT@](동물들에게 먹이를 주지 마세요.)",[@]¡Bienvenidos al milagroso zoológico de Podunk![WAIT@]¡Diversión para todos! Niños y adultos por igual.[WAIT@](¡Asegúrense de no alimentar a los animales!),[@]¡Bienvenido al Zoo Choucream![WAIT@]¡Diversión para todos! Niños y mayores por igual.[WAIT@](¡No les des de comer a los animales!),[@]Bem-vindo ao Extraordinário Zoológico de Podunk![WAIT@]Diversão para toda a família![WAIT@](Não alimente os animais!),"[@]Witamy w cudownym zoo w Podunk![WAIT@]Zabawa dla każdego! Dla dzieci i dorosłych.[WAIT@](Pamiętaj, aby nie karmić zwierząt!)",[@]Willkommen im wundersamen Windbeutel-Zoo![WAIT@]Spaß für jedermann! Kinder und Erwachsene gleichermaßen.[WAIT@](Bitte keine Tiere füttern!),[@]Добро пожаловать в чудесный зоопарк Поданка![WAIT@]Веселье для всех от мала до велика![WAIT@](Ни в коем случае не кормите животных!),"[@]Ласкаво просимо до чудового зоопарку Поданку![WAIT@]Радість для всіх, від малого до великого![WAIT@](У жодному разі не годуйте тварин!)",[@]Welcome to the Miraculous zoo of Mother's Day![WAIT@]Fun for everyone! Kids and grownups alike.[WAIT@](Be sure not to feed the animals!)
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_SINGING_MONKEY_0,[@]One of a kind!,[@]Le seul et unique singe chantant !,[@]Unica nel suo genere!,[@]「よにも　めずらしい　うたうサルは,[@]신기한 동물 이야기,[@]¡Único en su especie!,[@]¡Único en su especie!,[@]O único da sua espécie!,[@]Jedyna w swoim rodzaju!,[@]Einzigartig!,[@]Единственная в своём роде!,[@]Єдина на світі!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_SINGING_MONKEY_1,[@]See and listen to the amazing Singing Monkey!,"[@]En exclusivité ici, au zoo Patachou !",[@]Venite ad ascoltare la fantastica Scimmia Canterina!,　とう　シュークリーム　どうぶつえんに\n　　　　　　　　　　しか　おりません。」,[@]원숭이들이 노래하는 모습을 볼 수 있어요!,[@]¡Vea y escuche al asombroso Mono cantante!,[@]¡Ven y escucha al increíble Mono cantante!,[@]Venha ver o incrível Macaco Cantor!,[@]Zobacz i posłuchaj niesamowitej Śpiewającej Małpy!,"[@]Sehet und höret den unglaublichen, singenden Affen!",[@]Удивительная поющая обезьянка!,[@]Побачте та почуйте дивовижну співочу мавпочку!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_SINGING_MONKEY_3,"[@]EEK, EE EEEK, EEK.","[@]OUH, OUK HII, OUK HI !","[@]EEK, EE EEEK, EEK.",[@]キャッキャッキャッ,"[@]우끼, 우끼끼, 우끼.","[@]EEK, EE EEEK, EEK.","[@]IIK, II IIIK, IIK.","[@]UUH, UH UH, AH AAH!",[@]UAAA UAAA! HOO HOO HOO!,"[@]UUHK, UH-AAAHK, AAK.","[@]У, у, у. У, а, а!","[@]У, у, у. У, а, а!",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_SINGING_MONKEY_4,"(My momma used to sing this song to me.[WAITBR]And now, I shall sing it to you!)","(Ma maman me chantait cette chanson.[WAITBR]Et maintenant, c'est à toi que je la chante !)","(La mia mamma mi cantava questa canzone.[WAITBR]E ora, te la canto io!)",（オイラの　かあちゃんが　このうたを\nよく　うたってくれたんだ。)[WAITBR]うたうサルは　しみじみとうたった。,(엄마는 내게 늘 이 노래를 불러주곤 했어.[WAITBR]이제 내가 불러줄 차례네!),"(Mi mamá solía cantarme esta canción.[WAITBR]Y ahora, ¡te la cantaré para tí!)","(Mi mamá me cantaba mucho esta canción.[WAITBR]¡Y ahora, te la cantaré yo a ti!)","(Minha mãe constumava cantar essa canção para mim.[WAITBR]E agora, irei cantar para você!)",(Moja mama śpiewała mi tę piosenkę.[WAITBR]A teraz ja ci ją zaśpiewam!),"(Mama hat dieses Lied immer für mich gesungen.[WAITBR]Und jetzt, soll ich es dir vorsingen!)",(Эту песню мне пела мама в детстве.[WAITBR]Позволь мне спеть её тебе!),(Цю пісню мені співала мама в дитинстві.[WAITBR]Дозволь мені заспівати її тобі!),
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_SINGING_MONKEY_7,[@][PartyLead] remembered the tune.,[@][PartyLead] apprend la mélodie.,[@][PartyLead] impara la melodia.,[@][PartyLead]は　メロディーを　おぼえた。,[@][PartyLead][ko_part:PartyLead:0] 멜로디를 기억했다.,[@][PartyLead] recordó la melodía.,[@][PartyLead] ha aprendido la melodía.,[@][PartyLead] lembrou-se da melodia.,[@][PartyLead] zapamiętał melodię.,[@][PartyLead] merkte sich das Lied.,[@][PartyLead] запомнил мелодию.,[@][PartyLead] запам'ятав мелодію.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_SINGING_MONKEY_SPEAKER_Monkey,Monkey,Singe,Scimmia,サル,원숭이,Mono,Mono,Macaco,Małpa,Affe,Обезьянка,Мавпочка,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_WELCOME_0,[@]Welcome to the zoo. Where animals and people live in harmony.,"[@]Bienvenue au zoo, l'endroit où les animaux et les hommes vivent en harmonie.",[@]Benvenuti allo zoo. Dove persone e animali vivono in armonia.,[@]「ひとと　どうぶつとが　きょうぞんする\n　シュークリームどうぶつえんへ　ようこそ！[WAITBR](ほんじつの　みどころは　うたうおサルさん！)」,[@]동물과 사람이 공존하는 슈크림 동물원에 오신 것을\n환영합니다!,[@]Bienvenido al zoológico. Donde los animales y las personas viven en armonía.,[@]Bienvenido al zoo.\nEl lugar donde personas y animales viven en armonía.,"[@]Bem-vindo ao zoológico, onde as pessoas e os animais vivem em harmonia.",[@]Witamy w zoo. Gdzie zwierzęta i ludzie żyją w zgodzie.,[@]Willkommen im Zoo.\nWo Tiere und Menschen in Harmonie leben.,[@]Добро пожаловать в зоопарк — место единения людей с животными!,[@]Ласкаво просимо до зоопарку — місця гармонії між людьми та тваринами!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO_WEST_0,"[@]Podunk Cliffside[WAIT@]It's hard work adventuring, so why not sit back and enjoy the view?[WAIT@]Have a picnic, read a book, think about deep stuff. Whatever takes your fancy.","[@]Falaise de Podunk[WAIT@]L'aventure, c'est du boulot. Pourquoi ne pas vous asseoir et profiter du panorama ?[WAIT@]Cassez la croûte, lisez un livre, réfléchissez à des sujets profonds. Quelles que soient vos envies.","[@]Scogliera di Podunk[WAIT@]L'avventura è stancante, perché non vi fermate a godervi la vista?[WAIT@]Fate un pic-nic, leggete un libro, pensate. Come più vi aggrada.",[@]「マザーズデイ　かいがん」[WAIT@](ぼうけんで　くたびれていないですか？[BR]ここでのんびり　きゅうけい　してみませんか？[WAIT@]ピクニックしたり　どくしょをするのもいいし\nてつがくもおつなものですよ。),"[@]마더즈데이 해안[WAIT@]모험에 지쳤다면, 편안히 앉아서 아름다운 경치를\n감상하는 건 어떨까요?[WAIT@]피크닉을 즐기고, 책을 읽고, 생각에 잠겨보세요.","[@]Acantilado de Podunk.[WAIT@]Es un trabajo duro aventurarse. Entonces, ¿por qué no sentarse y disfrutar de la vista?[WAIT@]Haz un picnic, lee un libro, piensa en cosas profundas. Lo que sea que te apetezca.","[@]Acantilado de Podunk.[WAIT@]Irse de aventuras es bastante agotador... ¿Por qué no te sientas y disfrutas de la vista?[WAIT@]Haz un picnic, lee un libro, piensa en cosas profundas. Lo que te apetezca.","[@]Penhasco de Podunk[WAIT@]Se aventurar por aí é cansativo, então por que não descansa um pouco e curte a vista?[WAIT@]Faça um piquenique, leia um livro, reflita sobre a vida, o que der na telha.","[@]Klif Podunk[WAIT@]Chodzenie na przygody to ciężka robota, więc dlaczego nie usiąść i nacieszyć się widokiem?[WAIT@]Urządź piknik, poczytaj książkę, pomyśl o głębszych sprawach. Cokolwiek ci się podoba.","[@]Podunk Klippe[WAIT@]Es ist hart auf Abenteuer zu sein, also warum nicht zurücklehnen und die Aussicht genießen?[WAIT@]Mache ein Picknick, lese ein Buch, denk über tiefgründige Dinge nach. Was auch immer dir gefällt.","[@]Утёс Поданка[WAIT@]Приключение — дело изнурительное. Так почему бы не присесть и не насладиться видами?[WAIT@]Можете устроить пикник, почитать книгу, поразмыслить о вечном. Что только душа пожелает!","[@]Скеля Поданку[WAIT@]Пригода — справа виснажлива. Чому б не присісти і не насолодитися краєвидом?[WAIT@]Можете влаштувати пікнік, почитати книгу, помислити про вічне. Що забажаєте!","[@]Mother's Day Cliffside[WAIT@]It's hard work adventuring, so why not sit back and enjoy the view?[WAIT@]Have a picnic, read a book, think about deep stuff. Whatever takes your fancy."
DIALOGUE_PODUNK_NON-PERSON_TEXT_ZOO-YUCCA_0,[@]Go south to reach Podunk's famous zoo.,[@]Dirigez-vous vers le sud pour accéder au célèbre zoo Patachou de Podunk.,[@]Andate a sud per raggiungere il famoso zoo di Podunk.,[@]「みなみ　マザーズデイ　めいぶつ\n　シュークリームどうぶつえん　１．４キロさき」,[@]남쪽에는 마더즈데이의 유명한 동물원이 있습니다.,[@]Dirígete hacia el sur para llegar al famoso zoológico de Podunk.,[@]Dirígete hacia el sur para llegar al famoso zoo de Podunk.,[@]Siga para o sul para chegar ao famoso zoológico de Podunk.,"[@]Udaj się na południe, aby dotrzeć do słynnego zoo w Podunk.","[@]Gehe nach Süden, um Podunks berühmten Zoo zu erreichen.","[@]Чтобы добраться до знаменитого зоопарка Поданка, идите на юг.","[@]Щоб дістатися відомого зоопарку Поданку, йдіть на південь.",[@]Go south to reach Mother's Day's famous zoo.
